Source,Target,Column,Column2,generated
A. M. Green,Anson Jones,,,143
Anson Jones,A. M. Green,,,144
Anson Jones,Charles H. Raymond,,,145
Address of Tilghman A. Howard,Anson Jones, ,,146
Anson Jones's reply,Howard *s address 294 ,,,147
Anson Jones,Charles H. Raymond,,,148
Isaac Van Zandt,Anson Jones,,,149
J. H. Brower,Isaac Van Zandt,,,150
Isaac Van Zandt,Anson Jones,,,151
Wm. Wilkins,John C. Calhoun,,,152
D. Parker,John C. Calhoun,,,153
R. Jones,the Secretary of War [of the United States],,,154
R. Jones,Zachary Taylor,,,155
Zachary Taylor,AdjutantrGeneral [R. Jones],,,156
G. Loomis,W. W. S. Bliss,,,157
Isaac Van Zandt,Anson Jones,,,158
J. H. Brower,Isaac Van Zandt,,,159
Isaac Van Zandt,Anson Jones,,,160
Charles H. Raymond,Anson Jones,,,161
Charles H. Raymond,Anson Jones,,,162
Charles H. Raymond,Anson Jones,,,163
Anson Jones,James Reily,,,164
Anson Jones,Charles H. Raymond,,,165
Charles H. Raymond,Anson Jones,,,166
A. J. Donelson,Anson Jones,,,167
M.S. CucuUu,John C. Spencer,,,168
Balie Peyton,M. S. CucuUu,,,169
Eddy and Moss,the collector of the customs at New Orleans, ,,170
Charles H. Raymond,the Secretary of State of Texas [Jones],,,171
John C. Calhoun,Charles H. Raymond,,,172
Charles H. Raymond,John C. Calhoun,,,173
A. J. Donelson,Anson Jones,,,174
Anson Jones,A. J. Donelson,,,175
A. J. Donelson,Secretary of State [Allen, December 10 1844,,176
Ebenezer Allen,A. J. Donelson,,,177
A. J. Donelson,Ebenezer Allen,,,178
Charles H. Raymond,the Secretary of State of Texas [Allen],,,179
John C. Calhoun,Charles H. Raymond,,,180
Charlee H. Raymond,John C. Calhoun,,,181
Ebenezer Allen,A. J. Donelson,,,182
Charles H. Raymond,Ebenezer Allen,,,183
A.J. Donelson,Ebenezer Allen,,,184
Ebenezer Allen,Charles H. Raymond,,,185
Charles H. Raymond,Ebenezer Allen,,,186
Ebenezer Allen,Charles H. Raymond,,,187
Charles H. Raymond,Ebenezer Allen,,,188
Ebenezer Allen,Charles H. Raymond,,,189
A. J. Donelson,Ebenezer Allen,,,190
Duff Green,A. J. Donelson,,,191
Williams, Thurston,Duff Green, January 1 1845,192
A. J. Donelson,Ebenezer Allen,,,193
Ebenezer Allen,A. J. Donelson,,,194
Charles H. Raymond,Ebenezer Allen,,,195
John C. Calhoun,Charles H. Raymond,,,196
Charles H. Raymond,Ebenezer Allen,,,197
Charles H. Raymond,John C. Calhoun,,,198
Ashbel Smith,A. J. Donelson,,,199
Ashbel Smith,Charles H. Raymond,,,200
Charles H. Raymond,Ebenezer Allen,,,201
Charles H. Raymond,John C. Calhoun,,,202
Charles H. Raymond,John C. Calhoun,,,203
Charles H. Raymond,Ebenezer Allen,,,204
Charles H. Raymond,Ebenezer Allen,,,205
Ashbel Smith,Charles H. Raymond,,,206
Ashbel Smith,Stewart Newell,,,207
Charles H. Raymond,Ashbel Smith,,,208
A. J. Donelson,Ebenezer Allen,,,209
Charles H. Raymond,Ebenezer Allen,,,210
Charles H. Raymond,Ebenezer Allen,,,211
Ebenezer Allen,David S. Kaufman,,,212
Ebenezer Allen,David S. Kaufman,,,213
Anson Jones,James K. Polk,,,214
Ebenezer Allen,William D. Lee,,,215
T. Hartley Crawford,Andrew J. Donelson,,,216
E. A. Rhodes,Ebenezer Allen,,,217
J. Y. Mason,E. A. Rhodes,,,218
E. A. Rhodes,Ebenezer Allen,,,219
Anson Jones,Zachary Taylor,,,220
Ebenezer Allen,E. A. Rhodes,,,221
William D. Lee,Ebenezer Allen,,,222
James Buchanan,William D. Lee,,,223
William D. Lee,James Buchanan,,,224
David S. Kaufman,Ebenezer Allen,,,225
David S. Kaufman,James Buchanan,,,226
WilliamD. Lee,Ebenezer Allen,,,227
Ebenezer Allen,David S. Kaufman,,,228
William D. Lee,Ebenezer Allen,,,229
W. L. Marcy,David S. Kaufman,,,230
David S. Kaufman,Ebenezer Allen,,,231
William D. Lee,Ebenezer Allen,,,232
William D. Lee,James Buchanan,,,233
Anson Jones,James K. Polk,,,234
Joseph C. Eldredge,E. A. Rhodes,,,235
Anson Jones,James K. Polk,,,236
R. J. Walker,Hiram G. Runnels,,,237
David G. Burnet,Anto. Lopez de Santa Anna,,,238
David G. Burnet,Anto. Lopez de Santa Anna,,,239
David G. Burnet,Anto. Lopez de Santa Anna,,,240
David G. Burnet,Anto. Lopez de Santa Anna,,,241
Anto. Lopez de Santa Anna,David G. Burnet,,,242
Anto. Lopez de Santa Anna,David G. Burnet,,,243
Anto. Lopez de Santa Anna,David G. Burnet,,,244
Anto. Lopez de Santa Anna,Sam Houston,,,245
Stephen F. Austin,Fran. Pizarro Martinez,,,246
Geo. W. Hockley,Sam Houston,,,247
Geo. W. Hockley,Sam Houston,,,248
Barnard E. Bee,Sam Houston,,,249
Fran. Pizarro Martinez,Stephen F. Austin,,,250
A. J. Yates,Stephen F. Austin,,,251
Correspondent in Tampico,T. Toby,,,252
Correspondent in Tampico,T. Toby,,,253
Antonio Canales,Mirabeau B. Lamar,,,254
James Webb,Barnard E. Bee,,,255
Barnard E. Bee,James Webb,,,256
James Webb,Barnard E. Bee,,,257
Barnard E. Bee,James Webb,,,258
Barnard E. Bee,James Webb,,,259
Barnard E. Bee,James Webb [April 7 1839,,,260
Barnard E. Bee,James Webb,,,261
Barnard E. Bee,James Webb,,,262
Barnard E. Bee,James Webb,,,263
Barnard E. Bee,James Webb,,,264
Barnard E. Bee,James Webb,,,265
Barnard E. Bee,James Webb,,,266
Geo. L. Hammeken,James Hamilton,,,267
Geo. L. Hanmieken,James Webb,,,268
Barnard E. Bee,James Webb,,,269
Barnard E. Bee,James Webb,,,270
James Hamilton,Mirabeau B. Lamar,,,271
J. R. Poinsett,James Hamilton,,,272
James Hamilton,Mirabeau B. Lamar,,,273
James Hamilton,R. Copeland,,,274
Barnard E. Bee,James Webb,,,275
Barnard E. Bee,James Webb,,,276
Barnard E. Bee,James Webb,,,277
James Hamilton,Mirabeau B. Lamar,,,278
Barnard E. Bee,James Webb,,,279
Barnard E. Bee,James Webb,,,280
Barnard E. Bee,James Webb,,,281
James Webb,Barnard E. Bee,,,282
Barnard E. Bee,James Webb,,,283
BaniaxdE. Bee,James Webb,,,284
Barnard E. Bee to [Lamar], July [?] 3839 467 ,,,285
James Hamilton,Mirabeau B. Lamar,,,286
Mirabeau B. Lamar,James Treat,,,287
David G. Burnet,James Treat,,,288
Barnard E. Bee,David G. Burnet,,,289
Jacob Barker,Barnard E. Bee,,,290
James Treat,David G. Burnet,,,291
DaAdd G. Burnet,James Treat,,,292
James Treat,Mirabeau B. I^mar,,,293
James Treat,David G. Burnet,,,294
James Treat,David G. Burnet,,,295
James Treat,David G. Burnet,,,296
James Treat,Mirabeau B. I^mar,,,297
A Friend of Treat in Mexico,a Friend of Treat in New Orleans [Vitalba],,,298
A Friend of Treat in New Orleans [Vitalba] to James Treat, September ,,,299
James Treat,David G. Biumet,,,300
James Treat,David G. Burnet,,,301
James Treat,David G. Burnet,,,302
James Treat,David G. Burnet,,,303
A. S. Wright,Wm. Bryan,,,304
James Treat,David G. Burnet,,,305
James Treat,David G. Burnet,,,306
A. S. Wright,William Bryan,,,307
Juan de Dios Cafiedo,R. Pakenham,,,308
James Treat,Mirabeau B. Lamar,,,309
James Treat,Mirabeau B. Lamar,,,310
James Treat,James Hamilton,,,311
James Treat,Mirabeau B. Lamar,,,312
David G. Burnet,James Hamilton,,,313
A. S. Wright,Wm. Bryan,,,314
A. S. Wright,John Merle,,,315
A. S. Wright,Wm. Bryan,,,316
James Treat,Mirabeau B. Lamar,,,317
James Hamilton,David G. Burnet,,,318
James Treat,Mirabeau B. Lamar,,,319
James Treat,Mirabeau B. Lamar,,,320
James Treat,Mirabeau B. Lamar,,,321
James Treat,Mirabeau B. Lamar,,,322
James Treat,Mirabeau B. Lamar,,,323
James Treat,Mirabeau B. Lamar,,,324
Abner S. Lipscomb,Barnard E. Bee,,,325
James Treat,Mirabeau B. Lamar,,,326
James Treat,Mirabeau B. Lamar,,,327
James Treat,Juan de Dios CaAedo,,,328
James Treat,Juan de Dios Cafiedo,,,329
James Treat,Juan de Dios Cafiedo,,,330
James Treat,Mirabeau B. Lamar,,,331
James Treat,Mirabeau B. Lamar,,,332
James Treat,Mirabeau B. Lamar,,,333
James Treat,Mirabeau B. Lamar,,,334
James Treat,Juan de Dios Cafiedo,,,335
James Treat,Juan Nepomuceno Almonte,,,336
James Treat,Juan de Dies Cafiedo,,,337
James Treat,Juan de Dies Cafiedo,,,338
James Treat,Juan de Dios Cafiedo,,,339
James Treat,Mirabeau B. Lamar,,,340
James Treat,Mirabeau B. Lamar,,,341
David G. Burnet,James Treat,,,342
David G. Burnet,R. Pakenham,,,343
David G. Burnet,R. Pakenham,,,344
James Treat,Mirabeau B. Lamar,,,345
James Treat,Mirabeau B. Lamar,,,346
Propositions of Texas,Mexico,,,347
James Treat,Mirabeau B. I^amar,,,348
Abner S. Lipscomb,James Treat,,,349
Abner S. Lipscomb,Hamilton and Burnley,,,350
James Treat,Secretary of State [Lipscomb],,,351
Jas. Ogilvy,R. Pakenham,,,352
Jas. Ogilvy,R. Pakenham,,,353
James Treat,Mirabeau B. Lamar,,,354
James Treat,Mirabeau B. Lamar,,,355
Correspondent at Vera Cruz,David G. Burnet,,,356
James Treat,Mirabeau B. Lamar,,,357
James Treat,Juan de Dios Cafiedo,,,358
A. S. Wright,Barnard E. Bee,,,359
Barnard E. Bee,Secretary of State [Lipscomb],,,360
James Treat,Mirabeau B. Lamar,,,361
R. Pakenham,David G. Burnet,,,362
James Treat,Mirabeau B. Lamar,,,363
A. S. Wright,Barnard E. Bee,,,364
A. S. Wright,Barnard E. Bee,,,365
A. S. Wright,Barnard E. Bee,,,366
A. S. Wright,Barnard E. Bee,,,367
Barnard E. Bee,Secretary of State [Lipscomb],,,368
Abner S. Lipscomb,James Hamilton,,,369
Abner S. Lipscomb,James Treat,,,370
James Treat,Mirabeau B. Lamar,,,371
James Treat,Mirabeau B. Lamar,,,372
James Treat,James Ritchie,,,373
James Treat,Mirabeau B. Lamar,,,374
James Treat,Mirabeau B. Lamar,,,375
Abner S. Lipscomb,James Treat,,,376
James Treat,Mirabeau B. Lamar,,,377
James Treat,Abner S. Lipscomb,,,378
Mirabeau B. Lamar,E. W. Moore,,,379
A. S. Wright,Barnard E. Bee,,,380
A. S. Wright,Barnard E. Bee,,,381
James Treat,Abner S. Lipscomb,,,382
James Treat,Mirabeau B. Lamar,,,383
James Treat,Juan de Dios Cafiedo,,,384
Barnard E. Bee,James Treat, 1��40 665 ,,385
James Treat,Abner S. Lipscomb,,,386
James Treat,Mirabeau B. Lamar,,,387
James Treat,Mirabeau B. Lamar,,,388
James Treat,Abner S. Lipscomb,,,389
James Treat,Mirabeau B. Lamar,,,390
A. S. Wright,Barnard E. Bee,,,391
A. S. Wright,Barnard E. Bee,,,392
James Treat,Mirabeau B. Lamar,,,393
James Treat,Abner S. Lipscomb,,,394
James Treat,E. W. Moore,,,395
E. W. Moore,James Treat,,,396
E. W. Moore,Muabeau B. Lamar, 184Q 695 ,,397
E. W. Moore,Abner S. Lipscomb,,,398
James Treat,Abner S. Lipscomb,,,399
Memorandum communicated by Treat,Mexican Government,,,400
Abner S. Lipscomb,James Treat,,,401
James Treat,Abner S. Lipscomb,,,402
Agent of Texas [Treat] to Secretary of State of Mexico [Cafledo], Septem- ,,,403
James Treat,Abner S. Lipscomb,,,404
James Treat,Abner S. Lipscomb,,,405
James Treat,Abner S. Lipscomb,,,406
E. W. Moore,James Treat,,,407
E. W. Moore,Joaquin Rivas Sayas,,,408
Joaquin Rivas Sayas,E. W. Moore,,,409
Nathaniel Amory,Abner S. Lipscomb,,,410
Juan N. Leplicher,Nathaniel Amory,,,411
A. S. Wright,Nathaniel Amory,,,412
Juan Vitalba,Mirabeau B. Lamar,,,413
James Treat,R. Pakenham,,,414
James Treat,R. Pakenham,,,415
James Treat,R. Pakenham,,,416
R. Pakenham,James Treat,,,417
Juan de Dies Cafiedo,R. Pakenham,^.840 725 ,,418
R. Pakenham,James Treat,,,419
R. Pakenham,James Treat,,,420
R. Pakenham,James Treat, U540 727 ,,421
R. Pakenham,James Treat,,,422
James Treat,E. W. Moore,,,423
James Treat,E. W. Moore,,,424
A. S. Wright,Mirabeau B. Lamar,,,425
James S. May field,James Webb,,,426
Samuel A. Roberts,Cooke and others,,,427
Samuel A. Roberts,Wm. G. Cooke,,,428
Samuel A. Roberts,Rafael Uribe,,,429
Samuel A. Roberts,Van Ness and Morris,,,430
Mirabeau B. Lamar,Mariano Arista,,,431
James Webb,James S. Mayfield,,,432
James Webb,Ignacio de Mora,,,433
Ignacio de Mora,James Webb,,,434
James Webb,R. Pakenham,,,435
R. Pakenham,James Webb,,,436
Sebastian Canacho,R. Pakenham,,,437
R. Pakenham,James S. Mayfield,,,438
James Webb,R. Pakenham,,,439
James Webb,Mirabeau B. Lamar,,,440
Samuel A. Roberts,James Webb,,,441
John D. Morris,Samuel A. Roberts,,,442
John D. Morris,Samuel A. Roberts,,,443
Van Ness and Morris,Rafael Uribe [July 18 1841,,,444
Van Ness and Morris,Carrasco,,,445
Van Ness and Morris,Mariano Arista,,,446
Mariano Arista,Van Ness and Morris,,,447
Brenham and Cooke,Secretary of State [Roberts],,,448
Anson Jones,James Hamilton,,,449
Sam Houston,Secretary of State [Jones],,,450
Sam Houston to*Hockley and Williams, February 3 1843,,,451
G. W. Hill,Adrian Woll,,,452
Reuben M. Potter,Ashbel Smith,,,453
Mirabeau B. Lamar,Governor of Yucatan,,,454
Miguel Barbachano,Mirabeau B. Lamar,,,455
Martin F. Peraza,Samuel A. Roberts,,,456
Samuel A. Roberts,Martin F. Peraza,,,457
Martin F. Peraza,Samuel A. Roberts,,,458
E. W. Moore,PedrffLemus,,,459
Pedro Lemus,E. W. Moore,,,460
Joaquin G. Rej6n,Secretary of State [Waples, January 18 1842,,461
Joaquin G. Rei6n,Secretary of State [Waples, January 18 1842,,462
Instructions,Peraza,,,463
Joaquin G. Rej6n,President of Texas,,,464
Pedro Lemus,Secretary of State [Rej6n],,,465
R. A. Irion,J. Pinckney Henderson,,,466
J. Pinckney Hendersdh,Secretary of State [Irion],,,467
R. A. Irion,J. Pinckney Henderson,,,468
J. Pinckney Henderson,Secretary of State [Irion],,,469
J. Pinckney Henderson,Lord Palmerston,,,470
I^rd Palmerston,J. Pinckney Henderson,,,471
J. Pinckney Henderson,Lord Palmerston,,,472
J. Pinckney Henderson,R. A. Irion,,,473
J. Pinckney Henderson,Lord Palmerston,,,474
Lord Palmerston,J. Pinckney Henderson,,,475
J. Pinckney Henderson,Lizardi &lt;k Co.,,,476
J. Pinckney Henderson,R. A. Irion,,,477
J. Pinckney Henderson,Lord Palmerston,,,478
J. Pinckney Henderson,Lord Palmerston,,,479
Lord Palmerston,J. Pinckney Henderson,,,480
R. A. Irion,J. Pinckney Henderson,,,481
J. Pinckney Henderson,R. A. Irion,,,482
J. Pinckney Henderson,R. A. Irion,,,483
J. Pinckney Henderson,Lord Palmerston,,,484
J. Pinckney Henderson,Lord Palmerston,,,485
J. Pinckney Henderson,Lord Palmerston,,,486
Lord Palmerston,J. Pinckney Henderson,,,487
R. A. Irion,Agent of Lloyds,,,488
R. A. Irion,J. Pinckney Henderson,,,489
J. Pinckney Henderson,R. A. Irion,,,490
J. Pinckney Hendereon,Lord Palmerston,,,491
Lord Palmerston,J. Pinckney Henderson,,,492
J. Pinckney Henderson,Lord Palmerston,,,493
J. Pinckney Henderson,Lord Palmerston,,,494
Lord Palmerston,J. Pinckney Henderson,,,495
J. Pinckney Henderson,Lord Palmerston,,,496
Lord Palmerston,J. Pinckney Henderson,,,497
R. A. Irion,J. Pinckney Henderson,,,498
R. A. Irion,J. Pinckney Henderson,,,499
R. A. Irion,J. Pinckney Henderson,,,500
Jamee Hamilton,H. S. Fox,,,501
H. S. Fox,James Hamilton,,,502
David G. Burnet,J. Pinckney Henderson,,,503
David G. Burnet,Jamee Hamilton,1839 873 ,,504
J. Pinckney Henderson,Secretary of State [Burnet],,,505
J. Pinckney Henderson,Secretary of State [Burnet],,,506
J. Pinckney Henderson,Secretary of State [Biumet],,,507
James Hamilton,David G. Burnet,,,508
R. Pakenham,James Hamilton,,,509
Jamee Hamilton,R. Pakenham,,,510
Jamee HamUton,R. Pakenham,,,511
James Buchanan,E. W. Moore,,,512
E. W. Moore,James Buchanan,,,513
James Hamilton,Abner S. Lipecomb,,,514
Jamee Hamilton,Lord Palmerston,,,515
James Treat,Mirabeau B. Lamar,,,516
James Treat,Abner S. Lipscomb,,,517
R. Pakenham,James Treat,,,518
James Treat,Ri. Pakenham,,,519
Abner S. Lipecomb,R. Pakenham,,,520
John Taylor,Mirabeau B. Lamar,,,521
List of negro subjects of Great Britain alleged,be held in slavery in Texas,,,522
James Hamilton,Abner S. Lipecomb,,,523
Mirabeau B. Lamar,Lord Russell,,,524
Joseph Waples,Wm. Barron,,,525
James Hamilton,Abner S. Lipecomb,,,526
Geo. S. Mcintosh,Mirabeau B. Lamar,,,527
James Hamilton,Abner S. Lipscomb,,,528
James Hamilton,Lord Palmerston,,,529
Abner S. Lipecomb,Wm. Barron,,,530
James Hamilton,Mirabeau B. Lamar,,,531
James Hamilton,Monroe Edwards,,,532
Lord Palmerston,James Hamilton,,,533
James Hamilton,Abner S. Lipscomb,,,534
James Hamilton,Abner S. Lipscomb,,,535
Hamilton and Burnley,James H. Starr,,,536
James Hamilton,Abner S. Lipscomb,,,537
James Hamilton,Lord Palmerston,,,538
Lord Palmerston,James Hamilton,,,539
James Hamilton,Mirabeau B. Lamar,,,540
Lord Palmerston,James Hamilton,,,541
James S. Mayfield,James Hamilton,,,542
James S. Mayfield,James Hamilton,,,543
A. T. Biimley,David G. Burnet,,,544
Arthur Ikin,James S. Mayfield,,,545
James Hamilton,James S. Mayfield,,,546
Samuel A. Roberts,James Hamilton,,,547
John Crawford,Mirabeau B. Lamar,,,548
Lord Palmerston,Mirabeau B. Lamar,,,549
James Hamilton,Samuel A. Roberts,,,550
Anson Jones,James Hamilton,,,551
James Hamilton,Anson Jones,,,552
James Hamilton,Anson Jones,,,553
James Hamilton,Nathaniel Amory,,,554
James Hamilton,Anson Jones,,,555
James Hamilton,Anson Jones,,,556
Anson Jones,Ashbel Smith,,,557
Arthur Ikin,Anson Jones,,,558
Anson Jones,Ashbel Smith,,,559
Geo. Fisher,Anson Jones,,,560
Ashbel Smith,Anson Jones,,,561
Ashbel Smith,Anson Jones,,,562
Ashbel Smith,Anson Jones,,,563
Anson Jones,Ashbel Smith,,,564
Ashbel Smith,Anson Jones,,,565
Ashbel Smith,Anson Jones,,,566
Lord Aberdeen,Secretary of State of Texas [Jones],,,567
Ashbel Smith,Anson Jones,,,568
Ashbel Smith,Anson Jones,,,569
Ashbel Smith,Lord Aberdeen,,,570
Ashbel Smith,Anson Jones,,,571
Ashbel Smith,Edward Everett,,,572
Edward Everett,Ashbel Smith,,,573
Edward Everett,Ashbel Smith,,,574
Edward Everett,Ashbel Smith,,,575
Ashbel Smith,Samuel Amory,,,576
Samuel Amory,George K. Teulon,,,577
Ashbel Smith,Edward Everett,,,578
Edward Everett,Ashbel Smith,,,579
Ashbel Smith,Edward Everett,,,580
A^bel Smith,Lord Aberdeen,,,581
Ashbel Smith,Lord Aberdeen,,,582
Lord Aberdeen,Ashbel Smith,,,583
M. P. Russell,Ashbel Smith,,,584
Ashbel Smith,James Reily,,,585
Ashbel Smith,Geo. S. Mcintosh,,,586
Ashbel Smith,Lord Aberdeen,,,587
M. P. Russell,Ashbel Smith,,,588
Lord Aberdeen,Ashbel Smith,,,589
Ashbel Smith,Geo. S. Mcintosh,,,590
Ashbel Smith,Lord Aberdeen,,,591
lx)rd Aberdeen,Ashbel Smith,,,592
Ashbel Smith,M. P. Russell,,,593
Joseph Hume,Ashbel Smith,,,594
Lachlin M. Rate,Ashbel Smith,,,595
Memorandum concerning War Steamers,be used against Texas,,,596
Wm. Pringle,Ashbel Smith,,,597
M. P. Russell,Ashbel Smith,,,598
William Kennedy,Ashbel Smith,,,599
Arthur Ikin,Ashbel Smith,,,600
Ashbel Smith,Arthur Ikin,,,601
Fox Sons &amp; Co. to Ashbel Smith, July 2 1842,,,602
Ashbel Smith,Lord Aberdeen,,,603
Gabriel Shaw,Ashbel Smith,,,604
Ashbel Smith,Joseph Hume,,,605
Ashbel Smith,Lachlin M. Rate,,,606
Wm. Pringle,Ashbel Smith,,,607
Ashbel Smith,Wm. Pringle,,,608
Lachlin M. Rate,Ashbel Smith,,,609
Certificate of Exchange of Ratification of Convention as,Debt be- ,,,610
Ashbel Smith,Anson Jones,,,611
Ashbel Smith,Anson Jones,,,612
Ashbel Smith,Wm. Pringle,,,613
Wm. Pringle,Ashbel Smith,,,614
Wm. Pringle,Ashbel Smith,,,615
G. W. Terrell,Ashbel Smith,,,616
Charles Elliot,Secretary of State [Jones],,,617
G. W. Terrell,Charles Elliot,,,618
G. W. Terrell,Lord Aberdeen,,,619
Ashbel Smith,Lord Aberdeen,,,620
Charles Elliot,G. W. Terrell,,,621
Joseph Waples,Charles Elliot,,,622
Ashbel Smith,Anson Jones,,,623
Ashbel Smith,Lord Aberdeen,,,624
